,company id,company name,industy 1,industy 2,industy 3,industy 4,industy 5,industy 6
133,970,Wells Fargo,Finance,Tech,,,,
134,654,Yello,,,,,,
135,11854,Open Society Foundations,,,,,,
136,365,The Wall Street Journal,,,,,,
137,1197,Yotpo,,,,,,
138,1149,Integrative Nutrition,Education,Healthcare,,,,
139,1322,Comscore,,,,,,
140,1632,Addison Group,,,,,,
141,11828,Ironwood Pharmaceuticals,,,,,,
142,1062,GEICO,Client Services,Insurance,,,,
143,1374,Some Spider Studios,Consumer,Entertainment & Gaming,Media,Social Media,,
144,865,Rainforest QA,,,,,,
145,1097,Sinclair Broadcast Group,,,,,,
146,11738,Integral Ad Science,Client Services,Media,Tech,,,
147,11920,Calendly,Client Services,Engineering,Tech,,,
148,11729,Repeat Roses,Media,Social Good,Tech,Travel and Hospitality,,
149,373,Bozzuto,Client Services,Real Estate & Construction,Travel and Hospitality,,,
150,1136,Smashbox Cosmetics,Consumer,Fashion and Beauty,,,,
151,11877,Itemize,Engineering,Finance,Tech,,,
152,11989,Creative Office Pavilion,,,,,,
153,416,MediaRadar,Advertising and Agencies,Tech,,,,
154,11726,ICM Partners,Advertising and Agencies,Arts and Music,Client Services,Entertainment & Gaming,Media,
155,11839,AdHawk & FloorForce,Advertising and Agencies,Media,Tech,,,
156,849,Accolade,Healthcare,Tech,,,,
157,11837,Amperity,,,,,,
158,11679,McGraw Hill,Education,Tech,,,,
159,11711,Healthfirst,Healthcare,Insurance,,,,
160,11730,DIG,Consumer,Food & Beverage,Social Good,,,
161,1525,Alto Pharmacy,Healthcare,Tech,,,,
162,988,MedStar National Rehabilitation Network,,,,,,
163,1493,Johnson & Johnson,Consumer,Engineering,Fashion and Beauty,Healthcare,Manufacturing,Tech
164,11858,Hu Products,,,,,,
165,1337,Guidepoint,Client Services,Consulting,Healthcare,,,
166,11986,Madison Logic,,,,,,
167,11834,Food Bank For New York City,Food & Beverage,Social Good,,,,
168,11878,Oscar Health,Healthcare,Insurance,Tech,,,
169,11991,JustFix.nyc,,,,,,
170,1373,PagerDuty,,,,,,
171,11984,City of Philadelphia,,,,,,
172,11799,Cisco Meraki,,,,,,
173,940,BAE Systems,Engineering,Tech,,,,
174,11874,Propeller Consulting,,,,,,
175,11882,Teampay,Finance,Tech,,,,
176,11905,Appcues,,,,,,
177,1274,Viventium,Client Services,Tech,,,,
178,11962,Great Oaks Charter Schools,,,,,,
179,11793,Zume,Engineering,Food & Beverage,Tech,,,
180,1218,CSC,Client Services,Law,,,,
181,11653,Allbirds,Consumer,Fashion and Beauty,,,,
182,311,The Knot Worldwide,Media,Tech,,,,
183,708,Quantcast,,,,,,
184,952,"BMW of North America, LLC",,,,,,
185,11772,Memorial Sloan Kettering Cancer Center,Healthcare,Tech,,,,
186,1286,LendingHome,Finance,Tech,,,,
187,1491,HouseCanary,Real Estate & Construction,Tech,,,,
188,11701,Simplifeye,Healthcare,Tech,,,,
189,579,Knot Standard,Consumer,Fashion and Beauty,Tech,,,
190,11977,Explore Schools,,,,,,
191,11788,Lyric,Tech,Travel and Hospitality,,,,
192,11811,Intuit,Consumer,Finance,Tech,,,
193,11884,Le Pain Quotidien,Food & Beverage,Travel and Hospitality,,,,
194,1507,Ellevest,Finance,Tech,,,,
195,855,FiscalNote,,,,,,
196,11914,iCIMS,,,,,,
197,11867,GoGuardian,Education,Engineering,Tech,,,
198,11972,Aramark,,,,,,
199,901,Capital One,Consumer,Finance,Tech,,,
200,828,Success Academy Charter Schools,,,,,,
201,1572,Lord Abbett,Client Services,Finance,Law,Tech,,
202,11851,MovingWorlds,Consulting,Education,Social Good,Travel and Hospitality,,
203,744,Andela,Social Good,Tech,,,,
204,11966,Bishop Fox,Client Services,Consulting,Tech,,,
205,11642,Chick-fil-A,Consumer,Food & Beverage,,,,
206,585,City of Hope,,,,,,
207,11950,Collibra,,,,,,
208,1190,Booking.com,Consumer,Tech,Travel and Hospitality,,,
209,877,Dropbox,,,,,,
210,1478,Tradeweb,Finance,Tech,,,,
211,1605,FINRA,Finance,Tech,,,,
212,1215,World 50,,,,,,
213,1196,Graham Technologies,,,,,,
214,11745,Kenna Security,,,,,,
215,1370,WW,Consumer,Healthcare,Tech,,,
216,1185,Teachers Pay Teachers,Education,Tech,,,,
217,1315,Take-Two Interactive Software,,,,,,
218,279,Outbrain,Advertising and Agencies,Media,Tech,,,
219,11715,PepsiCo,Consumer,Food & Beverage,Manufacturing,,,
220,996,CarGurus,Consumer,Tech,,,,
221,402,Eventbrite,,,,,,
222,11734,Meritage Homes,Architecture,Real Estate & Construction,,,,
223,810,AppFolio,Client Services,Engineering,Finance,Real Estate & Construction,Tech,
224,1489,Constructive Partnerships Unlimited,Healthcare,Social Good,,,,
225,11816,BlackLine,Finance,Tech,,,,
226,295,Braintree,Client Services,Finance,,,,
227,11845,BrainPOP,Education,Tech,,,,
228,11885,Brex,Engineering,Finance,Tech,,,
229,11988,Bluecore,,,,,,
230,1120,Amplify,Education,Tech,,,,
231,284,TYRA Beauty,Entertainment & Gaming,Fashion and Beauty,,,,
232,11771,Sterling National Bank,,,,,,
233,909,Gap Inc.,Consumer,Fashion and Beauty,,,,
234,1288,ASCAP,,,,,,
235,1331,Trustwave,,,,,,
236,11826,Hinge Health,Healthcare,Tech,,,,
237,1496,Hachette Book Group,Consumer,Media,,,,
238,11953,Rally Health,,,,,,
239,1222,Etsy,Arts and Music,Consumer,Fashion and Beauty,,,
240,1327,The Muse,,,,,,
241,543,Taboola,Media,Tech,,,,
242,1433,Duolingo,Education,Tech,,,,
243,1291,Esri,,,,,,
244,1318,BRPH,Architecture,Engineering,,,,
245,11891,Zeta Charter Schools,Education,Social Good,,,,
246,1147,Shutterstock,Arts and Music,Client Services,Media,Tech,,
247,1216,Kohl's,,,,,,
248,11646,TradingScreen,Finance,Tech,,,,
249,1420,PCORI,Healthcare,Social Good,,,,
250,11808,Sound Credit Union,Client Services,Consumer,Finance,Social Good,,
251,11869,Yieldmo,Advertising and Agencies,Tech,,,,
252,11819,Digital Media Solutions,,,,,,
253,895,CommonBond,Finance,Tech,,,,
254,11821,Airtable,,,,,,
255,1612,Network for Good,Social Good,Tech,,,,
256,11979,Wiser,,,,,,
257,11876,Clover,Finance,Tech,,,,
258,1239,Unruly,Advertising and Agencies,Media,Tech,,,
259,11886,WordStream,Advertising and Agencies,Social Media,Tech,,,
260,1347,Tory Burch,,,,,,
261,11815,Thycotic,,,,,,
262,11902,Coney Island Prep,,,,,,
263,11879,American Express,Client Services,Consumer,Engineering,Finance,Tech,Travel and Hospitality
264,705,Bizzabo,,,,,,
265,831,Bonobos,Consumer,Fashion and Beauty,,,,
266,1409,HUB International,Client Services,Finance,,,,
267,281,BounceX,Client Services,Tech,,,,
268,404,IEX Group,,,,,,
269,1485,Tribune Publishing,,,,,,
270,1444,First Citizens Bank,,,,,,
271,11832,Scale AI,,,,,,
272,11781,iCapital Network,Finance,Tech,,,,
273,566,Ultimate Software,,,,,,
274,11830,FloQast,Client Services,Finance,Tech,,,
275,862,AT&T,,,,,,
276,11757,Appear Here,Fashion and Beauty,Real Estate & Construction,Tech,,,
277,891,Allstate,,,,,,
278,897,Curalate,Consumer,Tech,,,,
279,1461,Rheem,Consumer,Manufacturing,,,,
280,1268,USA TODAY NETWORK,Entertainment & Gaming,Media,Tech,,,
281,11676,Life360,Consumer,Engineering,Social Media,Tech,,
282,11896,MLB,Consumer,Engineering,Media,,,
283,1063,KDM Engineering,,,,,,
284,11731,Tenaska,Engineering,Finance,,,,
285,303,Grubhub,Consumer,Food & Beverage,Tech,,,
286,11749,Smartronix,Consulting,Engineering,Government,Manufacturing,Tech,
