,company id,industry 1,industry 2,industry 3,industry 4,industry 5,industry 6
181,940,Engineering,Tech,,,,
182,11874,,,,,,
183,11882,Finance,Tech,,,,
184,11905,,,,,,
185,1274,Client Services,Tech,,,,
186,11962,,,,,,
187,11793,Engineering,Food & Beverage,Tech,,,
188,1218,Client Services,Law,,,,
189,11653,Consumer,Fashion and Beauty,,,,
190,311,Media,Tech,,,,
191,708,,,,,,
192,952,,,,,,
193,11772,Healthcare,Tech,,,,
194,1286,Finance,Tech,,,,
195,1491,Real Estate & Construction,Tech,,,,
196,11701,Healthcare,Tech,,,,
197,579,Consumer,Fashion and Beauty,Tech,,,
198,11977,,,,,,
199,11788,Tech,Travel and Hospitality,,,,
200,11811,Consumer,Finance,Tech,,,
201,11715,Consumer,Food & Beverage,Manufacturing,,,
202,11884,Food & Beverage,Travel and Hospitality,,,,
203,1507,Finance,Tech,,,,
204,855,,,,,,
205,11914,,,,,,
206,11867,Education,Engineering,Tech,,,
207,11972,,,,,,
208,901,Consumer,Finance,Tech,,,
209,828,,,,,,
210,1572,Client Services,Finance,Law,Tech,,
211,11851,Consulting,Education,Social Good,Travel and Hospitality,,
212,744,Social Good,Tech,,,,
213,11966,Client Services,Consulting,Tech,,,
214,585,,,,,,
215,11950,,,,,,
216,1190,Consumer,Tech,Travel and Hospitality,,,
217,877,,,,,,
218,1605,Finance,Tech,,,,
219,1215,,,,,,
220,1196,,,,,,
221,11745,,,,,,
222,1370,Consumer,Healthcare,Tech,,,
223,1185,Education,Tech,,,,
224,660,Client Services,Finance,Tech,,,
225,279,Advertising and Agencies,Media,Tech,,,
226,996,Consumer,Tech,,,,
227,402,,,,,,
228,11734,Architecture,Real Estate & Construction,,,,
229,810,Client Services,Engineering,Finance,Real Estate & Construction,Tech,
230,1489,Healthcare,Social Good,,,,
231,11816,Finance,Tech,,,,
232,295,Client Services,Finance,,,,
233,11845,Education,Tech,,,,
234,11885,Engineering,Finance,Tech,,,
235,11988,,,,,,
236,1120,Education,Tech,,,,
237,284,Entertainment & Gaming,Fashion and Beauty,,,,
238,11771,,,,,,
239,909,Consumer,Fashion and Beauty,,,,
240,1331,,,,,,
241,11826,Healthcare,Tech,,,,
242,1496,Consumer,Media,,,,
243,11953,,,,,,
244,1222,Arts and Music,Consumer,Fashion and Beauty,,,
245,543,Media,Tech,,,,
246,1433,Education,Tech,,,,
247,12018,,,,,,
248,1291,,,,,,
249,1318,Architecture,Engineering,,,,
250,11891,Education,Social Good,,,,
251,1147,Arts and Music,Client Services,Media,Tech,,
252,1216,,,,,,
